"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"avvise, angi, fordømme","<div class=""article""><div class=""k""><b>avvise, angi, fordømme</b></div>denounce</div>"
"avvise, gi strykkarakter","<div class=""article""><div class=""k""><b>avvise, gi strykkarakter</b></div>flunk</div>"
"avvæpne","<div class=""article""><div class=""k""><b>avvæpne</b></div>disarm</div>"
"avvæpne, nedruste","<div class=""article""><div class=""k""><b>avvæpne, nedruste</b></div>disarm</div>"
"avvæpning","<div class=""article""><div class=""k""><b>avvæpning</b></div>disarmament</div>"
"avvæpning, nedrustning","<div class=""article""><div class=""k""><b>avvæpning, nedrustning</b></div>disarmament</div>"
"bacon","<div class=""article""><div class=""k""><b>bacon</b></div>bacon</div>"
"bacon, flesk","<div class=""article""><div class=""k""><b>bacon, flesk</b></div>bacon</div>"
"bad","<div class=""article""><div class=""k""><b>bad</b></div>bath</div>"
"badebukse","<div class=""article""><div class=""k""><b>badebukse</b></div>swimming trunks</div>"
"badedrakt","<div class=""article""><div class=""k""><b>badedrakt</b></div>bathing suit</div>"
"bagasje","<div class=""article""><div class=""k""><b>bagasje</b></div>baggage, luggage<br/>baggage</div>"
"bajas","<div class=""article""><div class=""k""><b>bajas</b></div>buffoon</div>"
"bak","<div class=""article""><div class=""k""><b>bak</b></div>after, behind, subsequently, afterwards, next<br/>afterwards<br/>behind<br/>next<br/>subsequently</div>"
"bak-","<div class=""article""><div class=""k""><b>bak-</b></div>hind</div>"
"bak-, hind","<div class=""article""><div class=""k""><b>bak-, hind</b></div>hind</div>"
"bakdel","<div class=""article""><div class=""k""><b>bakdel</b></div>haunches</div>"
"bakdel, ende","<div class=""article""><div class=""k""><b>bakdel, ende</b></div>haunches</div>"
"bake","<div class=""article""><div class=""k""><b>bake</b></div>bake</div>"
"baker","<div class=""article""><div class=""k""><b>baker</b></div>baker</div>"
"bakeri","<div class=""article""><div class=""k""><b>bakeri</b></div>bakery</div>"
"bakgrunn","<div class=""article""><div class=""k""><b>bakgrunn</b></div>background</div>"
"bakhjul","<div class=""article""><div class=""k""><b>bakhjul</b></div>back wheel<br/>hind wheel<br/>rear wheel, back wheel, hind wheel<br/>rear wheel</div>"
"bakk","<div class=""article""><div class=""k""><b>bakk</b></div>aback</div>"
"bakke","<div class=""article""><div class=""k""><b>bakke</b></div>hill</div>"
"baklengs","<div class=""article""><div class=""k""><b>baklengs</b></div>backwards</div>"
"baklomme","<div class=""article""><div class=""k""><b>baklomme</b></div>hip-pocket</div>"
"baklys","<div class=""article""><div class=""k""><b>baklys</b></div>rear-lamp<br/>rear-light, rear-lamp, tail-light<br/>rear-light<br/>tail-light</div>"
"bakrus","<div class=""article""><div class=""k""><b>bakrus</b></div>hangover</div>"
"bakse","<div class=""article""><div class=""k""><b>bakse</b></div>flounder, flop</div>"
"bakse, flyndre","<div class=""article""><div class=""k""><b>bakse, flyndre</b></div>flounder</div>"
"bakterie","<div class=""article""><div class=""k""><b>bakterie</b></div>germ</div>"
"bakteriedreper","<div class=""article""><div class=""k""><b>bakteriedreper</b></div>germicide</div>"
"bakterier","<div class=""article""><div class=""k""><b>bakterier</b></div>bacteria</div>"
"bakvendt","<div class=""article""><div class=""k""><b>bakvendt</b></div>backwards</div>"
"bakvendt, baklengs","<div class=""article""><div class=""k""><b>bakvendt, baklengs</b></div>backwards</div>"
"baldakin","<div class=""article""><div class=""k""><b>baldakin</b></div>canopy</div>"
"balkong","<div class=""article""><div class=""k""><b>balkong</b></div>balcony</div>"
"balkong, altan","<div class=""article""><div class=""k""><b>balkong, altan</b></div>balcony</div>"
"ball","<div class=""article""><div class=""k""><b>ball</b></div>ball</div>"
"ballong","<div class=""article""><div class=""k""><b>ballong</b></div>balloon</div>"
"balltre","<div class=""article""><div class=""k""><b>balltre</b></div>bat</div>"
"balltre, flaggermus","<div class=""article""><div class=""k""><b>balltre, flaggermus</b></div>bat</div>"
"balsam","<div class=""article""><div class=""k""><b>balsam</b></div>balm</div>"
"balsamere","<div class=""article""><div class=""k""><b>balsamere</b></div>embalm</div>"
"bambus","<div class=""article""><div class=""k""><b>bambus</b></div>bamboo</div>"
"banal","<div class=""article""><div class=""k""><b>banal</b></div>corny<br/>hackneyed, corny</div>"
"banal, forslitt","<div class=""article""><div class=""k""><b>banal, forslitt</b></div>hackneyed</div>"
"banan","<div class=""article""><div class=""k""><b>banan</b></div>banana</div>"
"bande","<div class=""article""><div class=""k""><b>bande</b></div>gang</div>"
"bane","<div class=""article""><div class=""k""><b>bane</b></div>course</div>"
"bank","<div class=""article""><div class=""k""><b>bank</b></div>bank</div>"
"bar","<div class=""article""><div class=""k""><b>bar</b></div>buffet</div>"
"barberblad","<div class=""article""><div class=""k""><b>barberblad</b></div>razor-blade</div>"
"barbere","<div class=""article""><div class=""k""><b>barbere</b></div>shave</div>"
"barberkniv","<div class=""article""><div class=""k""><b>barberkniv</b></div>razor</div>"
"barberkost","<div class=""article""><div class=""k""><b>barberkost</b></div>shaving-brush</div>"
"barbermester","<div class=""article""><div class=""k""><b>barbermester</b></div>barber</div>"
"bardun","<div class=""article""><div class=""k""><b>bardun</b></div>guy</div>"
"bare","<div class=""article""><div class=""k""><b>bare</b></div>just</div>"
"barfrost","<div class=""article""><div class=""k""><b>barfrost</b></div>black frost</div>"
"barlind","<div class=""article""><div class=""k""><b>barlind</b></div>yew</div>"
"barm","<div class=""article""><div class=""k""><b>barm</b></div>bosom</div>"
"barm, bryst","<div class=""article""><div class=""k""><b>barm, bryst</b></div>bosom</div>"
"barn","<div class=""article""><div class=""k""><b>barn</b></div>child</div>"
"barndom","<div class=""article""><div class=""k""><b>barndom</b></div>childhood<br/>infancy, childhood<br/>infancy</div>"
"barnebarn","<div class=""article""><div class=""k""><b>barnebarn</b></div>grandchild</div>"
"barnehage","<div class=""article""><div class=""k""><b>barnehage</b></div>kindergarten</div>"
"barneseng","<div class=""article""><div class=""k""><b>barneseng</b></div>cot</div>"
"barnslig","<div class=""article""><div class=""k""><b>barnslig</b></div>infantile</div>"
"barsk","<div class=""article""><div class=""k""><b>barsk</b></div>bluff, fierce, harsh, gruff</div>"
"barsk, hard, streng, besk","<div class=""article""><div class=""k""><b>barsk, hard, streng, besk</b></div>harsh</div>"
"barsk, steil, bratt","<div class=""article""><div class=""k""><b>barsk, steil, bratt</b></div>bluff</div>"
"barsk, voldsom, sint","<div class=""article""><div class=""k""><b>barsk, voldsom, sint</b></div>fierce</div>"
"batteri","<div class=""article""><div class=""k""><b>batteri</b></div>battery</div>"
"bearbeide","<div class=""article""><div class=""k""><b>bearbeide</b></div>adapt</div>"
"bebo","<div class=""article""><div class=""k""><b>bebo</b></div>inhabit</div>"
"beboelig","<div class=""article""><div class=""k""><b>beboelig</b></div>habitable<br/>inhabitable, habitable<br/>inhabitable</div>"
"beboelighet","<div class=""article""><div class=""k""><b>beboelighet</b></div>habitability</div>"
"beboer","<div class=""article""><div class=""k""><b>beboer</b></div>inmate, inhabitant</div>"
"beboer, innbygger","<div class=""article""><div class=""k""><b>beboer, innbygger</b></div>inhabitant</div>"
"bedra","<div class=""article""><div class=""k""><b>bedra</b></div>fool</div>"
"bedrag","<div class=""article""><div class=""k""><b>bedrag</b></div>deceit, imposition, deception<br/>deceit<br/>deception</div>"
"bedrag, skatt, pålegg, påbud, lureri","<div class=""article""><div class=""k""><b>bedrag, skatt, pålegg, påbud, lureri</b></div>imposition</div>"
"bedrager","<div class=""article""><div class=""k""><b>bedrager</b></div>impostor</div>"
"bedrageri","<div class=""article""><div class=""k""><b>bedrageri</b></div>imposture, fraud<br/>imposture</div>"
"bedrageri, svindler, svindel","<div class=""article""><div class=""k""><b>bedrageri, svindler, svindel</b></div>fraud</div>"
"bedre","<div class=""article""><div class=""k""><b>bedre</b></div>better</div>"
"bedrift","<div class=""article""><div class=""k""><b>bedrift</b></div>exploit</div>"
"bedrøve","<div class=""article""><div class=""k""><b>bedrøve</b></div>afflict</div>"
"bedårende","<div class=""article""><div class=""k""><b>bedårende</b></div>adorable</div>"
"bedøve","<div class=""article""><div class=""k""><b>bedøve</b></div>drug</div>"
"befeste","<div class=""article""><div class=""k""><b>befeste</b></div>fortify</div>"
"befeste, forsterke","<div class=""article""><div class=""k""><b>befeste, forsterke</b></div>fortify</div>"
"befolkning","<div class=""article""><div class=""k""><b>befolkning</b></div>population</div>"
"befri","<div class=""article""><div class=""k""><b>befri</b></div>free</div>"
"befrielse","<div class=""article""><div class=""k""><b>befrielse</b></div>liberation</div>"
"befrukte","<div class=""article""><div class=""k""><b>befrukte</b></div>fertilize</div>"
"befruktning","<div class=""article""><div class=""k""><b>befruktning</b></div>fertilization</div>"
"begavet","<div class=""article""><div class=""k""><b>begavet</b></div>gifted</div>"
"begeistret","<div class=""article""><div class=""k""><b>begeistret</b></div>enthusiastic</div>"
"begeistring","<div class=""article""><div class=""k""><b>begeistring</b></div>enthusiasm, exuberance</div>"
"beger","<div class=""article""><div class=""k""><b>beger</b></div>goblet</div>"
"begivenhet","<div class=""article""><div class=""k""><b>begivenhet</b></div>event</div>"
"begivenhet, øvelse","<div class=""article""><div class=""k""><b>begivenhet, øvelse</b></div>event</div>"
"begivenhetsrik","<div class=""article""><div class=""k""><b>begivenhetsrik</b></div>eventful</div>"
"begjær","<div class=""article""><div class=""k""><b>begjær</b></div>desire, lust</div>"
"begjære","<div class=""article""><div class=""k""><b>begjære</b></div>desire</div>"
"begjærlig","<div class=""article""><div class=""k""><b>begjærlig</b></div>covetous, hungrily<br/>covetous<br/>hungrily</div>"
"begrave","<div class=""article""><div class=""k""><b>begrave</b></div>bury</div>"
"begravelse","<div class=""article""><div class=""k""><b>begravelse</b></div>burial, funeral<br/>burial<br/>funeral</div>"
"begrense","<div class=""article""><div class=""k""><b>begrense</b></div>confine<br/>limit, confine</div>"
"begrense, grense","<div class=""article""><div class=""k""><b>begrense, grense</b></div>limit</div>"
"begrensning","<div class=""article""><div class=""k""><b>begrensning</b></div>limitation</div>"
"begunstige","<div class=""article""><div class=""k""><b>begunstige</b></div>favour</div>"
"begunstiget","<div class=""article""><div class=""k""><b>begunstiget</b></div>favoured</div>"
"begynne","<div class=""article""><div class=""k""><b>begynne</b></div>begin<br/>commence, begin, start<br/>commence<br/>start</div>"
"begynnelses-","<div class=""article""><div class=""k""><b>begynnelses-</b></div>initial</div>"
"behag","<div class=""article""><div class=""k""><b>behag</b></div>zest</div>"
"behage","<div class=""article""><div class=""k""><b>behage</b></div>good</div>"
"behagelig","<div class=""article""><div class=""k""><b>behagelig</b></div>easy</div>"
"behagelig, rolig, lett","<div class=""article""><div class=""k""><b>behagelig, rolig, lett</b></div>easy</div>"
"behandle","<div class=""article""><div class=""k""><b>behandle</b></div>handle</div>"
"behendig","<div class=""article""><div class=""k""><b>behendig</b></div>adroit</div>"
"behendighet","<div class=""article""><div class=""k""><b>behendighet</b></div>dexterity</div>"
"beholde","<div class=""article""><div class=""k""><b>beholde</b></div>keep</div>"
"beige","<div class=""article""><div class=""k""><b>beige</b></div>beige</div>"
"beite","<div class=""article""><div class=""k""><b>beite</b></div>graze</div>"
"beite, få skrubbsår","<div class=""article""><div class=""k""><b>beite, få skrubbsår</b></div>graze</div>"
"bekjentskap","<div class=""article""><div class=""k""><b>bekjentskap</b></div>acquaintance</div>"
"bekk","<div class=""article""><div class=""k""><b>bekk</b></div>brook</div>"
"beklage","<div class=""article""><div class=""k""><b>beklage</b></div>deplore, lament<br/>deplore</div>"
"beklage seg","<div class=""article""><div class=""k""><b>beklage seg</b></div>grumble</div>"
"beklagelig","<div class=""article""><div class=""k""><b>beklagelig</b></div>deplorable, lamentable<br/>deplorable<br/>lamentable</div>"
"bekranse","<div class=""article""><div class=""k""><b>bekranse</b></div>garland</div>"
"bekrefte","<div class=""article""><div class=""k""><b>bekrefte</b></div>confirm, affirm<br/>confirm</div>"
"bekrefte, forsikre","<div class=""article""><div class=""k""><b>bekrefte, forsikre</b></div>affirm</div>"
"bekreftelse","<div class=""article""><div class=""k""><b>bekreftelse</b></div>confirmation</div>"
"bekvem","<div class=""article""><div class=""k""><b>bekvem</b></div>handy</div>"
"bekvemmelighet","<div class=""article""><div class=""k""><b>bekvemmelighet</b></div>comfort, convenience<br/>comfort<br/>convenience</div>"
"bekvemt","<div class=""article""><div class=""k""><b>bekvemt</b></div>convenient</div>"
"bekvemt, passende","<div class=""article""><div class=""k""><b>bekvemt, passende</b></div>convenient</div>"
"bekymre","<div class=""article""><div class=""k""><b>bekymre</b></div>distress</div>"
"bekymret","<div class=""article""><div class=""k""><b>bekymret</b></div>concerned</div>"
"bekymring","<div class=""article""><div class=""k""><b>bekymring</b></div>distress</div>"
"bekymring, bekymre, nød","<div class=""article""><div class=""k""><b>bekymring, bekymre, nød</b></div>distress</div>"
"belaste","<div class=""article""><div class=""k""><b>belaste</b></div>incriminate</div>"
"belaste, anklage","<div class=""article""><div class=""k""><b>belaste, anklage</b></div>incriminate</div>"
"belastning","<div class=""article""><div class=""k""><b>belastning</b></div>load</div>"
